Time;Channel;Count
2021-04-15 09:41:49.763957;Nederlands;1
2021-04-15 09:41:49.774358;Switch_on;1
2021-04-15 09:41:49.777360;Nederlands;1
2021-04-15 09:41:49.787766;Switch_on;1
2021-04-15 09:41:49.790674;Nederlands;1
2021-04-15 09:41:49.801061;Switch_on;1
2021-04-15 09:41:49.803857;Nederlands;1
2021-04-15 09:41:49.814223;Switch_on;1
2021-04-15 09:41:49.817009;Nederlands;1
2021-04-15 09:41:49.827369;Switch_on;1
2021-04-15 09:41:49.830179;Nederlands;1
2021-04-15 09:41:49.840606;Switch_on;1
2021-04-15 09:41:49.843407;Nederlands;1
2021-04-15 09:41:49.853773;Switch_on;1
2021-04-15 09:41:49.856557;Nederlands;1
2021-04-15 09:41:49.866912;Switch_on;1
2021-04-15 09:41:49.869699;Nederlands;1
2021-04-15 09:41:49.880113;Switch_on;1
2021-04-15 09:41:49.883188;Nederlands;1
2021-04-15 09:41:49.893599;Switch_on;1
2021-04-15 09:41:49.896401;Nederlands;1
2021-04-15 09:41:49.906760;Switch_on;1
2021-04-15 09:41:49.909556;Nederlands;1
2021-04-15 09:41:49.919920;Switch_on;1
2021-04-15 09:41:49.922816;Nederlands;1
2021-04-15 09:41:49.933209;Switch_on;1
2021-04-15 09:41:49.936007;Nederlands;1
2021-04-15 09:41:49.946366;Switch_on;1
2021-04-15 09:41:49.949164;Nederlands;1
2021-04-15 09:41:49.959525;Switch_on;1
2021-04-15 09:41:49.962362;Nederlands;1
2021-04-15 09:41:49.972750;Switch_on;1
2021-04-15 09:41:49.975647;Nederlands;1
2021-04-15 09:41:49.986178;Switch_on;1
2021-04-15 09:41:49.989230;Nederlands;1
2021-04-15 09:41:49.999834;Switch_on;1
2021-04-15 09:41:50.002921;Nederlands;1
2021-04-15 09:41:50.013339;Switch_on;1
2021-04-15 09:41:50.016145;Nederlands;1
2021-04-15 09:41:50.026553;Switch_on;1
2021-04-15 09:41:50.029362;Nederlands;1
2021-04-15 09:41:50.039726;Switch_on;1
2021-04-15 09:41:50.042575;Nederlands;1
2021-04-15 09:41:50.052959;Switch_on;1
2021-04-15 09:41:50.055749;Nederlands;1
2021-04-15 09:41:50.066117;Switch_on;1
2021-04-15 09:41:50.068906;Nederlands;1
2021-04-15 09:41:50.079321;Switch_on;1
2021-04-15 09:41:50.082556;Nederlands;1
2021-04-15 09:41:50.093014;Switch_on;1
2021-04-15 09:41:50.095831;Nederlands;1
2021-04-15 09:41:50.106196;Switch_on;1
2021-04-15 09:41:50.108990;Nederlands;1
2021-04-15 09:41:50.119353;Switch_on;1
2021-04-15 09:41:50.122181;Nederlands;1
2021-04-15 09:41:50.132564;Switch_on;1
2021-04-15 09:41:50.135363;Nederlands;1
2021-04-15 09:41:50.145727;Switch_on;1
2021-04-15 09:41:50.148528;Nederlands;1
2021-04-15 09:41:50.158895;Switch_on;1
2021-04-15 09:41:50.161734;Nederlands;1
2021-04-15 09:41:50.172120;Switch_on;1
2021-04-15 09:41:50.175008;Nederlands;1
2021-04-15 09:41:50.185501;Switch_on;1
2021-04-15 09:41:50.188406;Nederlands;1
2021-04-15 09:41:50.198791;Switch_on;1
2021-04-15 09:41:50.201637;Nederlands;1
2021-04-15 09:41:50.212026;Switch_on;1
2021-04-15 09:41:50.214836;Nederlands;1
2021-04-15 09:41:50.225200;Switch_on;1
2021-04-15 09:41:50.227997;Nederlands;1
2021-04-15 09:41:50.238417;Switch_on;1
2021-04-15 09:41:50.241267;Nederlands;1
2021-04-15 09:41:50.251655;Switch_on;1
2021-04-15 09:41:50.254455;Nederlands;1
2021-04-15 09:41:50.264817;Switch_on;1
2021-04-15 09:41:50.267617;Nederlands;1
2021-04-15 09:41:50.278025;Switch_on;1
2021-04-15 09:41:50.281079;Nederlands;1
2021-04-15 09:41:50.291525;Switch_on;1
2021-04-15 09:41:50.294348;Nederlands;1
2021-04-15 09:41:50.304710;Switch_on;1
2021-04-15 09:41:50.307504;Nederlands;1
2021-04-15 09:41:50.317866;Switch_on;1
2021-04-15 09:41:50.320700;Nederlands;1
2021-04-15 09:41:50.331130;Switch_on;1
2021-04-15 09:41:50.333931;Nederlands;1
2021-04-15 09:41:50.344293;Switch_on;1
2021-04-15 09:41:50.347095;Nederlands;1
2021-04-15 09:41:50.357457;Switch_on;1
2021-04-15 09:41:50.360292;Nederlands;1
2021-04-15 09:41:50.370682;Switch_on;1
2021-04-15 09:41:50.373537;Nederlands;1
2021-04-15 09:41:50.383977;Switch_on;1
2021-04-15 09:41:50.386922;Nederlands;1
2021-04-15 09:41:50.397305;Switch_on;1
2021-04-15 09:41:50.400097;Nederlands;1
2021-04-15 09:41:50.410522;Switch_on;1
2021-04-15 09:41:50.413320;Nederlands;1
2021-04-15 09:41:50.423680;Switch_on;1
2021-04-15 09:41:50.426473;Nederlands;1
2021-04-15 09:41:50.436879;Switch_on;1
2021-04-15 09:41:50.439671;Nederlands;1
2021-04-15 09:41:50.450031;Switch_on;1
2021-04-15 09:41:50.452871;Nederlands;1
2021-04-15 09:41:50.463260;Switch_on;1
2021-04-15 09:41:50.466052;Nederlands;1
2021-04-15 09:41:50.476460;Switch_on;1
2021-04-15 09:41:50.479447;Nederlands;1
2021-04-15 09:41:50.489856;Switch_on;1
2021-04-15 09:41:50.492723;Nederlands;1
2021-04-15 09:41:50.503101;Switch_on;1
2021-04-15 09:41:50.505895;Nederlands;1
